"항목","시점",아시아주,미주
"관광","2022.01",10529,3375
"관광","2022.02",8841,4124
"관광","2022.03",12170,6161
"관광","2022.04",18923,23222
"관광","2022.05",32742,34329
"관광","2022.06",60845,48017
"관광","2022.07",75746,45087
"관광","2022.08",85241,37921
"관광","2022.09",111510,56186
"관광","2022.10",232227,72360
"관광","2022.11",235921,59324
"관광","2022.12",327115,57318
"관광","2023.01",238034,37438
"관광","2023.02",248483,37789
"관광","2023.03",467983,86106
"관광","2023.04",512813,114481
"관광","2023.05",507467,104206
"관광","2023.06",596935,119509
"관광","2023.07",644804,107663
"관광","2023.08",677852,78054
"관광","2023.09",706692,98963
"관광","2023.10",787273,120478
"관광","2023.11",760274,95291
"관광","2023.12",728774,73176
"관광","2024.01",589174,54893
"관광","2024.02",671888,56096
"관광","2024.03",984868,124460
"관광","2024.04",957604,133069
"관광","2024.05",938346,128750
"관광","2024.06",949800,153032
"관광","2024.07",957866,126792
"관광","2024.08",1034314,106448
"관광","2024.09",951504,118378
"관광","2024.10",1064144,160220
"관광","2024.11",937062,115020
"관광","2024.12",896502,94010
"상용","2022.01",1233,205
"상용","2022.02",1505,101
"상용","2022.03",1619,112
"상용","2022.04",2555,164
"상용","2022.05",4004,199
"상용","2022.06",5763,190
"상용","2022.07",7251,250
"상용","2022.08",6615,283
"상용","2022.09",7250,268
"상용","2022.10",7924,299
"상용","2022.11",8302,296
"상용","2022.12",5848,268
"상용","2023.01",5908,433
"상용","2023.02",6209,233
"상용","2023.03",8987,389
"상용","2023.04",8408,355
"상용","2023.05",9846,389
"상용","2023.06",8488,324
"상용","2023.07",8911,339
"상용","2023.08",8642,415
"상용","2023.09",8245,329
"상용","2023.10",11013,509
"상용","2023.11",9383,336
"상용","2023.12",7331,330
"상용","2024.01",8236,461
"상용","2024.02",7750,318
"상용","2024.03",9804,383
"상용","2024.04",9984,351
"상용","2024.05",10680,385
"상용","2024.06",10105,359
"상용","2024.07",9498,321
"상용","2024.08",9911,420
"상용","2024.09",10376,408
"상용","2024.10",10980,326
"상용","2024.11",10547,340
"상용","2024.12",8492,323
"공용","2022.01",273,1495
"공용","2022.02",249,861
"공용","2022.03",303,1058
"공용","2022.04",427,1373
"공용","2022.05",731,2120
"공용","2022.06",828,1682
"공용","2022.07",1040,2742
"공용","2022.08",967,2339
"공용","2022.09",1547,1784
"공용","2022.10",1816,1477
"공용","2022.11",2164,2262
"공용","2022.12",1121,2441
"공용","2023.01",890,2921
"공용","2023.02",979,1981
"공용","2023.03",1665,2757
"공용","2023.04",1829,3344
"공용","2023.05",3060,2597
"공용","2023.06",2267,2970
"공용","2023.07",2320,3957
"공용","2023.08",2124,2826
"공용","2023.09",3004,2945
"공용","2023.10",3774,2490
"공용","2023.11",3516,3012
"공용","2023.12",1760,3300
"공용","2024.01",1184,2961
"공용","2024.02",1260,2482
"공용","2024.03",1794,4199
"공용","2024.04",2343,2699
"공용","2024.05",3096,3403
"공용","2024.06",3206,3810
"공용","2024.07",2477,4131
"공용","2024.08",2582,3591
"공용","2024.09",3427,3041
"공용","2024.10",3315,3167
"공용","2024.11",3656,3047
"공용","2024.12",1803,3903
"유학연수","2022.01",1954,250
"유학연수","2022.02",18212,2051
"유학연수","2022.03",10771,148
"유학연수","2022.04",2949,38
"유학연수","2022.05",4208,183
"유학연수","2022.06",6586,161
"유학연수","2022.07",9358,207
"유학연수","2022.08",34413,2692
"유학연수","2022.09",20570,186
"유학연수","2022.10",3666,68
"유학연수","2022.11",4876,324
"유학연수","2022.12",8143,497
"유학연수","2023.01",11430,494
"유학연수","2023.02",45204,2315
"유학연수","2023.03",29372,247
"유학연수","2023.04",5874,155
"유학연수","2023.05",13373,524
"유학연수","2023.06",14704,455
"유학연수","2023.07",16670,467
"유학연수","2023.08",59764,2538
"유학연수","2023.09",32893,251
"유학연수","2023.10",16200,177
"유학연수","2023.11",14469,548
"유학연수","2023.12",19188,574
"유학연수","2024.01",15559,504
"유학연수","2024.02",62750,2217
"유학연수","2024.03",50278,303
"유학연수","2024.04",13224,232
"유학연수","2024.05",22613,746
"유학연수","2024.06",21543,652
"유학연수","2024.07",21104,461
"유학연수","2024.08",72754,3024
"유학연수","2024.09",48174,351
"유학연수","2024.10",17431,231
"유학연수","2024.11",22470,942
"유학연수","2024.12",25977,897
