"노선(1)","시점",1종이용대수 (대),2종이용대수 (대)
"경부선","2015.01",30980364,1255793
"경부선","2015.02",29343262,1070224
"경부선","2015.03",32866194,1346766
"경부선","2015.04",32657391,1350429
"경부선","2015.05",35227631,1293776
"경부선","2015.06",31401969,1332358
"경부선","2015.07",34061732,1356787
"경부선","2015.08",34918447,1205869
"경부선","2015.09",34916670,1268345
"경부선","2015.10",35478017,1379707
"경부선","2015.11",33687568,1271712
"경부선","2015.12",33393883,1300838
"경부선","2016.01",31259864,1152690
"경부선","2016.02",30931026,1034491
"경부선","2016.03",33365819,1284966
"경부선","2016.04",33926823,1228605
"경부선","2016.05",35925132,1244837
"경부선","2016.06",34063516,1234239
"경부선","2016.07",35024863,1208951
"경부선","2016.08",36181283,1204708
"경부선","2016.09",34454283,1123854
"경부선","2016.10",34687855,1197788
"경부선","2016.11",33940678,1235614
"경부선","2016.12",33452070,1210595
"경부선","2017.01",32739579,1056490
"경부선","2017.02",30078049,1060654
"경부선","2017.03",34091515,1229267
"경부선","2017.04",34731302,1177555
"경부선","2017.05",35872091,1199339
"경부선","2017.06",34411255,1203199
"경부선","2017.07",34739797,1164379
"경부선","2017.08",36308702,1165907
"경부선","2017.09",35497840,1247451
"경부선","2017.10",36321420,1043326
"경부선","2017.11",34744266,1211622
"경부선","2017.12",33727069,1124978
"경부선","2018.01",32303551,1114806
"경부선","2018.02",27444791,932286
"경부선","2018.03",34632659,1167654
"경부선","2018.04",34947171,1150842
"경부선","2018.05",36793864,1189562
"경부선","2018.06",35051944,1141506
"경부선","2018.07",35923214,1161019
"경부선","2018.08",36414665,1121772
"경부선","2018.09",32385026,1020122
"경부선","2018.10",36593014,1218148
"경부선","2018.11",35296177,1166298
"경부선","2018.12",33868373,1068761
"경부선","2019.01",32881235,1098832
"경부선","2019.02",30714930,874312
"경부선","2019.03",34934335,1091525
"경부선","2019.04",34372742,1109416
"경부선","2019.05",35911956,1127392
"경부선","2019.06",33953016,1037445
"경부선","2019.07",34252130,1096662
"경부선","2019.08",35952761,1046333
"경부선","2019.09",33725832,969574
"경부선","2019.10",37297699,1167920
"경부선","2019.11",35886671,1115298
"경부선","2019.12",34613224,1075714
"경부선","2020.01",32499581,997953
"경부선","2020.02",29682801,1015941
"경부선","2020.03",29859497,1075962
"경부선","2020.04",32765760,1062088
"경부선","2020.05",36398181,1038898
"경부선","2020.06",35238402,1085582
"경부선","2020.07",35865226,1093075
"경부선","2020.08",35727470,1031794
"경부선","2020.09",34418793,1111876
"경부선","2020.10",37446717,1078836
"경부선","2020.11",35662959,1094823
"경부선","2020.12",32507260,1114053
"경부선","2021.01",30685779,1026353
"경부선","2021.02",31609861,916793
"경부선","2021.03",35392221,1136039
"경부선","2021.04",35567857,1115171
"경부선","2021.05",38101696,1101695
"경부선","2021.06",36853478,1157724
"경부선","2021.07",37521598,1176419
"경부선","2021.08",37396422,1098527
"경부선","2021.09",37419163,1063411
"경부선","2021.10",39416151,1146628
"경부선","2021.11",37588514,1160337
"경부선","2021.12",36095777,1172929
"경부선","2022.01",35749758,1073274
"경부선","2022.02",31872033,955915
"경부선","2022.03",33395265,1116678
"경부선","2022.04",37401676,1120451
"경부선","2022.05",39929953,1145504
"경부선","2022.06",37335223,1116069
"경부선","2022.07",38663650,1130056
"경부선","2022.08",42569333,1127210
"경부선","2022.09",33221430,1053863
"경부선","2022.10",40768649,1134996
"경부선","2022.11",38496744,1164692
"경부선","2022.12",36556335,1134235
"경부선","2023.01",34083410,938417
"경부선","2023.02",34750627,1027929
"경부선","2023.03",39302530,1179124
"경부선","2023.04",38955335,1101534
"경부선","2023.05",40383786,1155617
"경부선","2023.06",39117029,1149655
"경부선","2023.07",39197635,1123449
"경부선","2023.08",40293283,1139963
"경부선","2023.09",40394752,1086682
"경부선","2023.10",40968865,1140921
"경부선","2023.11",39036310,1169370
"경부선","2023.12",38037443,1093206
"남해선","2015.01",9461142,338972
"남해선","2015.02",9254468,290577
"남해선","2015.03",10020358,363351
"남해선","2015.04",9958318,367325
"남해선","2015.05",11195378,354098
"남해선","2015.06",9486038,356715
"남해선","2015.07",10276106,361360
"남해선","2015.08",11038990,316088
"남해선","2015.09",11032972,334894
"남해선","2015.10",11077963,369162
"남해선","2015.11",10527825,338679
"남해선","2015.12",10487610,348023
"남해선","2016.01",9889882,315882
"남해선","2016.02",10016897,284540
"남해선","2016.03",10439765,351626
"남해선","2016.04",10733563,339559
"남해선","2016.05",11575475,346444
"남해선","2016.06",10629258,338023
"남해선","2016.07",11144903,329674
"남해선","2016.08",11813063,325582
"남해선","2016.09",11015615,300563
"남해선","2016.10",11300678,335166
"남해선","2016.11",10954951,341419
"남해선","2016.12",10862232,333851
"남해선","2017.01",10944030,293949
"남해선","2017.02",9571067,296040
"남해선","2017.03",10906352,344366
"남해선","2017.04",11464187,339374
"남해선","2017.05",12240495,349072
"남해선","2017.06",11249205,346292
"남해선","2017.07",11601432,337640
"남해선","2017.08",12177227,329269
"남해선","2017.09",11474997,354341
"남해선","2017.10",12711554,298412
"남해선","2017.11",11455557,348126
"남해선","2017.12",11341428,324540
"남해선","2018.01",10489938,322472
"남해선","2018.02",9269232,281113
"남해선","2018.03",12066968,356225
"남해선","2018.04",12181604,357028
"남해선","2018.05",12897438,364749
