"행정구역(시군구)별","시점",총인구수 (명)
"서울특별시","2014",10103233
"서울특별시","2015",10022181
"서울특별시","2016",9930616
"서울특별시","2017",9857426
"서울특별시","2018",9765623
"서울특별시","2019",9729107
"서울특별시","2020",9668465
"서울특별시","2021",9509458
"서울특별시","2022",9428372
"서울특별시","2023",9386034
"서울특별시","2024",9331828
"부산광역시","2014",3519401
"부산광역시","2015",3513777
"부산광역시","2016",3498529
"부산광역시","2017",3470653
"부산광역시","2018",3441453
"부산광역시","2019",3413841
"부산광역시","2020",3391946
"부산광역시","2021",3350380
"부산광역시","2022",3317812
"부산광역시","2023",3293362
"부산광역시","2024",3266598
"대구광역시","2014",2493264
"대구광역시","2015",2487829
"대구광역시","2016",2484557
"대구광역시","2017",2475231
"대구광역시","2018",2461769
"대구광역시","2019",2438031
"대구광역시","2020",2418346
"대구광역시","2021",2385412
"대구광역시","2022",2363691
"대구광역시","2023",2374960
"대구광역시","2024",2363629
"인천광역시","2014",2902608
"인천광역시","2015",2925815
"인천광역시","2016",2943069
"인천광역시","2017",2948542
"인천광역시","2018",2954642
"인천광역시","2019",2957026
"인천광역시","2020",2942828
"인천광역시","2021",2948375
"인천광역시","2022",2967314
"인천광역시","2023",2997410
"인천광역시","2024",3021010
"광주광역시","2014",1475884
"광주광역시","2015",1472199
"광주광역시","2016",1469214
"광주광역시","2017",1463770
"광주광역시","2018",1459336
"광주광역시","2019",1456468
"광주광역시","2020",1450062
"광주광역시","2021",1441611
"광주광역시","2022",1431050
"광주광역시","2023",1419237
"광주광역시","2024",1408422
"대전광역시","2014",1531809
"대전광역시","2015",1518775
"대전광역시","2016",1514370
"대전광역시","2017",1502227
"대전광역시","2018",1489936
"대전광역시","2019",1474870
"대전광역시","2020",1463882
"대전광역시","2021",1452251
"대전광역시","2022",1446072
"대전광역시","2023",1442216
"대전광역시","2024",1439157
"울산광역시","2014",1166377
"울산광역시","2015",1173534
"울산광역시","2016",1172304
"울산광역시","2017",1165132
"울산광역시","2018",1155623
"울산광역시","2019",1148019
"울산광역시","2020",1136017
"울산광역시","2021",1121592
"울산광역시","2022",1110663
"울산광역시","2023",1103661
"울산광역시","2024",1098049
"세종특별자치시","2014",156125
"세종특별자치시","2015",210884
"세종특별자치시","2016",243048
"세종특별자치시","2017",280100
"세종특별자치시","2018",314126
"세종특별자치시","2019",340575
"세종특별자치시","2020",355831
"세종특별자치시","2021",371895
"세종특별자치시","2022",383591
"세종특별자치시","2023",386525
"세종특별자치시","2024",390685
"경기도","2014",12357830
"경기도","2015",12522606
"경기도","2016",12716780
"경기도","2017",12873895
"경기도","2018",13077153
"경기도","2019",13239666
"경기도","2020",13427014
"경기도","2021",13565450
"경기도","2022",13589432
"경기도","2023",13630821
"경기도","2024",13694685
"강원특별자치도","2014",1544442
"강원특별자치도","2015",1549507
"강원특별자치도","2016",1550806
"강원특별자치도","2017",1550142
"강원특별자치도","2018",1543052
"강원특별자치도","2019",1541502
"강원특별자치도","2020",1542840
"강원특별자치도","2021",1538492
"강원특별자치도","2022",1536498
"강원특별자치도","2023",1527807
"강원특별자치도","2024",1517766
"충청북도","2014",1578933
"충청북도","2015",1583952
"충청북도","2016",1591625
"충청북도","2017",1594432
"충청북도","2018",1599252
"충청북도","2019",1600007
"충청북도","2020",1600837
"충청북도","2021",1597427
"충청북도","2022",1595058
"충청북도","2023",1593469
"충청북도","2024",1591177
"충청남도","2014",2062273
"충청남도","2015",2077649
"충청남도","2016",2096727
"충청남도","2017",2116770
"충청남도","2018",2126282
"충청남도","2019",2123709
"충청남도","2020",2121029
"충청남도","2021",2119257
"충청남도","2022",2123037
"충청남도","2023",2130119
"충청남도","2024",2136574
"전북특별자치도","2014",1871560
"전북특별자치도","2015",1869711
"전북특별자치도","2016",1864791
"전북특별자치도","2017",1854607
"전북특별자치도","2018",1836832
"전북특별자치도","2019",1818917
"전북특별자치도","2020",1804104
"전북특별자치도","2021",1786855
"전북특별자치도","2022",1769607
"전북특별자치도","2023",1754757
"전북특별자치도","2024",1738690
"전라남도","2014",1905780
"전라남도","2015",1908996
"전라남도","2016",1903914
"전라남도","2017",1896424
"전라남도","2018",1882970
"전라남도","2019",1868745
"전라남도","2020",1851549
"전라남도","2021",1832803
"전라남도","2022",1817697
"전라남도","2023",1804217
"전라남도","2024",1788819
"경상북도","2014",2700794
"경상북도","2015",2702826
"경상북도","2016",2700398
"경상북도","2017",2691706
"경상북도","2018",2676831
"경상북도","2019",2665836
"경상북도","2020",2639422
"경상북도","2021",2626609
"경상북도","2022",2600492
"경상북도","2023",2554324
"경상북도","2024",2531384
"경상남도","2014",3350257
"경상남도","2015",3364702
"경상남도","2016",3373871
"경상남도","2017",3380404
"경상남도","2018",3373988
"경상남도","2019",3362553
"경상남도","2020",3340216
"경상남도","2021",3314183
"경상남도","2022",3280493
"경상남도","2023",3251158
"경상남도","2024",3228380
"제주특별자치도","2014",607346
"제주특별자치도","2015",624395
"제주특별자치도","2016",641597
"제주특별자치도","2017",657083
"제주특별자치도","2018",667191
"제주특별자치도","2019",670989
"제주특별자치도","2020",674635
"제주특별자치도","2021",676759
"제주특별자치도","2022",678159
"제주특별자치도","2023",675252
"제주특별자치도","2024",670368
